Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Avg_Temperature,Max_Temperature,Min_Temperature
Arecanut,1997,Whole Year ,Meghalaya,9569.0,12116,3818.2,910681.73,2966.39,1.246,18.57,26.645,10.664
Arhar/Tur,1997,Kharif     ,Meghalaya,865.0,683,3818.2,82322.05,268.15,0.807,18.57,26.645,10.664
Banana,1997,Whole Year ,Meghalaya,5239.0,63011,3818.2,498595.63,1624.09,11.207,18.57,26.645,10.664
Castor seed,1997,Rabi       ,Meghalaya,30.0,15,3818.2,2855.1,9.3,0.49,18.57,26.645,10.664
Cotton(lint),1997,Kharif     ,Meghalaya,7544.0,5590,3818.2,717962.48,2338.64,0.797,18.57,26.645,10.664
Dry chillies,1997,Whole Year ,Meghalaya,1766.0,1106,3818.2,168070.22,547.46,0.64,18.57,26.645,10.664
Ginger,1997,Kharif     ,Meghalaya,7357.0,45260,3818.2,700165.69,2280.67,6.054,18.57,26.645,10.664
Gram,1997,Rabi       ,Meghalaya,443.0,270,3818.2,42160.31,137.33,0.613,18.57,26.645,10.664
Jute,1997,Kharif     ,Meghalaya,4243.0,34683,3818.2,403806.31,1315.33,8.437,18.57,26.645,10.664
Linseed,1997,Kharif     ,Meghalaya,50.0,22,3818.2,4758.5,15.5,0.44,18.57,26.645,10.664
Maize,1997,Kharif     ,Meghalaya,17175.0,24878,3818.2,1634544.75,5324.25,1.444,18.57,26.645,10.664
Mesta,1997,Kharif     ,Meghalaya,4688.0,21558,3818.2,446156.96,1453.28,4.68,18.57,26.645,10.664
Mesta,1997,Whole Year ,Meghalaya,861.0,713,3818.2,81941.37,266.91,0.752,18.57,26.645,10.664
Other  Rabi pulses,1997,Rabi       ,Meghalaya,1909.0,1511,3818.2,181679.53,591.79,0.777,18.57,26.645,10.664
Potato,1997,Whole Year ,Meghalaya,20764.0,200509,3818.2,1976109.88,6436.84,8.641,18.57,26.645,10.664
Rapeseed &Mustard,1997,Rabi       ,Meghalaya,6914.0,4467,3818.2,658005.38,2143.34,0.609,18.57,26.645,10.664
Rice,1997,Kharif     ,Meghalaya,105170.0,150101,3818.2,10009028.9,32602.7,1.379,18.57,26.645,10.664
Sesamum,1997,Kharif     ,Meghalaya,1326.0,688,3818.2,126195.42,411.06,0.576,18.57,26.645,10.664
Small millets,1997,Kharif     ,Meghalaya,2804.0,2237,3818.2,266856.68,869.24,0.861,18.57,26.645,10.664
Soyabean,1997,Kharif     ,Meghalaya,898.0,814,3818.2,85462.66,278.38,0.921,18.57,26.645,10.664
Sugarcane,1997,Whole Year ,Meghalaya,82.0,225,3818.2,7803.94,25.42,2.352,18.57,26.645,10.664
Sweet potato,1997,Whole Year ,Meghalaya,5212.0,16978,3818.2,496026.04,1615.72,3.221,18.57,26.645,10.664
Tapioca,1997,Whole Year ,Meghalaya,3959.0,21087,3818.2,376778.03,1227.29,6.537,18.57,26.645,10.664
Tobacco,1997,Rabi       ,Meghalaya,742.0,505,3818.2,70616.14,230.02,0.618,18.57,26.645,10.664
Turmeric,1997,Whole Year ,Meghalaya,1401.0,7126,3818.2,133333.17,434.31,5.426,18.57,26.645,10.664
Wheat,1997,Rabi       ,Meghalaya,4287.0,6894,3818.2,407993.79,1328.97,1.385,18.57,26.645,10.664
Arecanut,1997,Whole Year ,West Bengal,8058.0,12423,1852.9,766879.86,2497.98,1.692,25.795,35.236,17.038
Arhar/Tur,1997,Whole Year ,West Bengal,3630.0,2181,1852.9,345467.1,1125.3,0.778,25.795,35.236,17.038
Bajra,1997,Kharif     ,West Bengal,207.0,95,1852.9,19700.19,64.17,0.427,25.795,35.236,17.038
Barley,1997,Whole Year ,West Bengal,6116.0,5034,1852.9,582059.72,1895.96,1.68,25.795,35.236,17.038
Cardamom,1997,Whole Year ,West Bengal,2674.0,7,1852.9,254484.58,828.94,0.0,25.795,35.236,17.038
Castor seed,1997,Whole Year ,West Bengal,660.0,46,1852.9,62812.2,204.6,0.07,25.795,35.236,17.038
Coconut ,1997,Whole Year ,West Bengal,24273.0,306202300,1852.9,2310061.41,7524.63,13003.788,25.795,35.236,17.038
Cotton(lint),1997,Kharif     ,West Bengal,26000.0,52000,1852.9,2474420.0,8060.0,2.0,25.795,35.236,17.038
Dry chillies,1997,Whole Year ,West Bengal,64034.0,55569,1852.9,6094115.78,19850.54,0.943,25.795,35.236,17.038
Gram,1997,Rabi       ,West Bengal,25485.0,16994,1852.9,2425407.45,7900.35,0.598,25.795,35.236,17.038
Groundnut,1997,Whole Year ,West Bengal,29615.0,38672,1852.9,2818459.55,9180.65,1.13,25.795,35.236,17.038
Horse-gram,1997,Kharif     ,West Bengal,5645.0,2556,1852.9,537234.65,1749.95,0.439,25.795,35.236,17.038
Jowar,1997,Whole Year ,West Bengal,948.0,450,1852.9,90221.16,293.88,0.482,25.795,35.236,17.038
Jute,1997,Kharif     ,West Bengal,641574.0,7549700,1852.9,61058597.58,198887.94,13.446,25.795,35.236,17.038
Khesari,1997,Rabi       ,West Bengal,25261.0,28460,1852.9,2404089.37,7830.91,1.096,25.795,35.236,17.038
Linseed,1997,Whole Year ,West Bengal,16486.0,4210,1852.9,1568972.62,5110.66,0.252,25.795,35.236,17.038
Maize,1997,Whole Year ,West Bengal,35469.0,130390,1852.9,3375584.73,10995.39,2.658,25.795,35.236,17.038
Masoor,1997,Rabi       ,West Bengal,51202.0,35040,1852.9,4872894.34,15872.62,0.662,25.795,35.236,17.038
Mesta,1997,Kharif     ,West Bengal,9689.0,89000,1852.9,922102.13,3003.59,9.154,25.795,35.236,17.038
Moong(Green Gram),1997,Kharif     ,West Bengal,1490.0,711,1852.9,141803.3,461.9,0.549,25.795,35.236,17.038
Moong(Green Gram),1997,Rabi       ,West Bengal,3269.0,1710,1852.9,311110.73,1013.39,0.543,25.795,35.236,17.038
Moong(Green Gram),1997,Summer     ,West Bengal,9959.0,303,1852.9,947798.03,3087.29,0.046,25.795,35.236,17.038
Niger seed,1997,Rabi       ,West Bengal,50808100.0,38657300,1852.9,4835406877.0,15750511.0,0.699,25.795,35.236,17.038
Niger seed,1997,Whole Year ,West Bengal,6512.0,3522,1852.9,619747.04,2018.72,0.404,25.795,35.236,17.038
Other Kharif pulses,1997,Kharif     ,West Bengal,1279.0,725,1852.9,121722.43,396.49,0.585,25.795,35.236,17.038
Potato,1997,Whole Year ,West Bengal,284015.0,5581553,1852.9,27029707.55,88044.65,18.237,25.795,35.236,17.038
Ragi,1997,Autumn     ,West Bengal,12607.0,15330,1852.9,1199808.19,3908.17,0.986,25.795,35.236,17.038
Rapeseed &Mustard,1997,Whole Year ,West Bengal,327123.0,250950,1852.9,31132295.91,101408.13,0.718,25.795,35.236,17.038
Rice,1997,Autumn     ,West Bengal,423121.0,751970,1852.9,40268425.57,131167.51,1.837,25.795,35.236,17.038
Rice,1997,Summer     ,West Bengal,1206829.0,3569520,1852.9,114853915.9,374116.99,2.844,25.795,35.236,17.038
Rice,1997,Winter     ,West Bengal,4270328.0,8915100,1852.9,406407115.8,1323801.68,1.986,25.795,35.236,17.038
Safflower,1997,Whole Year ,West Bengal,10800.0,3000,1852.9,1027836.0,3348.0,0.298,25.795,35.236,17.038
Sannhamp,1997,Whole Year ,West Bengal,2015.0,9073,1852.9,191767.55,624.65,4.599,25.795,35.236,17.038
Sesamum,1997,Whole Year ,West Bengal,127913.0,88943,1852.9,12173480.21,39653.03,0.649,25.795,35.236,17.038
Small millets,1997,Whole Year ,West Bengal,5046.0,3222,1852.9,480227.82,1564.26,0.627,25.795,35.236,17.038
Soyabean,1997,Kharif     ,West Bengal,1555.0,1172,1852.9,147989.35,482.05,1.197,25.795,35.236,17.038
Sugarcane,1997,Whole Year ,West Bengal,25797.0,1818700,1852.9,2455100.49,7997.07,67.836,25.795,35.236,17.038
Sunflower,1997,Whole Year ,West Bengal,278.0,1,1852.9,26457.26,86.18,0.0,25.795,35.236,17.038
Turmeric,1997,Whole Year ,West Bengal,12481.0,23556,1852.9,1187816.77,3869.11,1.661,25.795,35.236,17.038
Urad,1997,Kharif     ,West Bengal,69271.0,44480,1852.9,6592521.07,21474.01,1.825,25.795,35.236,17.038
Urad,1997,Rabi       ,West Bengal,16694.0,10553,1852.9,1588767.98,5175.14,0.628,25.795,35.236,17.038
Wheat,1997,Rabi       ,West Bengal,367374.0,810480,1852.9,34962983.58,113885.94,1.887,25.795,35.236,17.038
Arecanut,1998,Kharif     ,Puducherry,66.0,23,1434.588,6520.8,19.14,0.35,28.324,32.859,24.576
Bajra,1998,Kharif     ,Puducherry,149.0,324,1434.588,14721.2,43.21,2.17,28.324,32.859,24.576
Black pepper,1998,Kharif     ,Puducherry,12.0,7,1434.588,1185.6,3.48,0.58,28.324,32.859,24.576
Coriander,1998,Kharif     ,Puducherry,2.0,1,1434.588,197.6,0.58,0.5,28.324,32.859,24.576
Cotton(lint),1998,Summer     ,Puducherry,453.0,372,1434.588,44756.4,131.37,0.84,28.324,32.859,24.576
Dry chillies,1998,Kharif     ,Puducherry,8.0,23,1434.588,790.4,2.32,2.75,28.324,32.859,24.576
Groundnut,1998,Rabi       ,Puducherry,1046.0,2062,1434.588,103344.8,303.34,1.54,28.324,32.859,24.576
Onion,1998,Kharif     ,Puducherry,26.0,429,1434.588,2568.8,7.54,16.5,28.324,32.859,24.576
Ragi,1998,Kharif     ,Puducherry,112.0,366,1434.588,11065.6,32.48,3.27,28.324,32.859,24.576
Rice,1998,Kharif     ,Puducherry,4945.0,11518,1434.588,488566.0,1434.05,2.46,28.324,32.859,24.576
Rice,1998,Rabi       ,Puducherry,13961.0,30220,1434.588,1379346.8,4048.69,2.555,28.324,32.859,24.576
Rice,1998,Summer     ,Puducherry,5716.0,14863,1434.588,564740.8,1657.64,2.55,28.324,32.859,24.576
Sesamum,1998,Kharif     ,Puducherry,147.0,120,1434.588,14523.6,42.63,0.807,28.324,32.859,24.576
Small millets,1998,Kharif     ,Puducherry,4.0,3,1434.588,395.2,1.16,0.75,28.324,32.859,24.576
Sugarcane,1998,Kharif     ,Puducherry,2710.0,232369,1434.588,267748.0,785.9,82.595,28.324,32.859,24.576
Tapioca,1998,Kharif     ,Puducherry,649.0,19110,1434.588,64121.2,188.21,20.0,28.324,32.859,24.576
Arecanut,1998,Whole Year ,Assam,74457.0,55355,2354.4,7356351.6,21592.53,0.784,24.142,33.323,16.002
Arhar/Tur,1998,Kharif     ,Assam,7657.0,5389,2354.4,756511.6,2220.53,0.709,24.142,33.323,16.002
Banana,1998,Whole Year ,Assam,41885.0,581884,2354.4,4138238.0,12146.65,13.788,24.142,33.323,16.002
Castor seed,1998,Kharif     ,Assam,1728.0,708,2354.4,170726.4,501.12,0.411,24.142,33.323,16.002
Coconut ,1998,Whole Year ,Assam,20166.0,149866000,2354.4,1992400.8,5848.14,6045.887,24.142,33.323,16.002
Cotton(lint),1998,Kharif     ,Assam,1652.0,751,2354.4,163217.6,479.08,0.399,24.142,33.323,16.002
Dry chillies,1998,Whole Year ,Assam,14724.0,9690,2354.4,1454731.2,4269.96,0.637,24.142,33.323,16.002
Gram,1998,Rabi       ,Assam,3002.0,1503,2354.4,296597.6,870.58,0.46,24.142,33.323,16.002
Jute,1998,Kharif     ,Assam,78702.0,687173,2354.4,7775757.6,22823.58,9.041,24.142,33.323,16.002
Linseed,1998,Rabi       ,Assam,10222.0,5212,2354.4,1009933.6,2964.38,0.481,24.142,33.323,16.002
Maize,1998,Kharif     ,Assam,19810.0,13965,2354.4,1957228.0,5744.9,0.609,24.142,33.323,16.002
Mesta,1998,Kharif     ,Assam,5260.0,25623,2354.4,519688.0,1525.4,4.91,24.142,33.323,16.002
Niger seed,1998,Kharif     ,Assam,8753.0,4478,2354.4,864796.4,2538.37,0.521,24.142,33.323,16.002
Onion,1998,Whole Year ,Assam,8083.0,18341,2354.4,798600.4,2344.07,2.34,24.142,33.323,16.002
Other  Rabi pulses,1998,Rabi       ,Assam,116141.0,62330,2354.4,11474730.8,33680.89,0.508,24.142,33.323,16.002
Potato,1998,Whole Year ,Assam,76958.0,611077,2354.4,7603450.4,22317.82,7.23,24.142,33.323,16.002
Rapeseed &Mustard,1998,Rabi       ,Assam,288829.0,135631,2354.4,28536305.2,83760.41,0.473,24.142,33.323,16.002
Rice,1998,Autumn     ,Assam,594979.0,520605,2354.4,58783925.2,172543.91,1.056,24.142,33.323,16.002
Rice,1998,Summer     ,Assam,223913.0,446114,2354.4,22122604.4,64934.77,1.685,24.142,33.323,16.002
Rice,1998,Winter     ,Assam,1635230.0,2288114,2354.4,161560724.0,474216.7,1.396,24.142,33.323,16.002
Sesamum,1998,Kharif     ,Assam,15940.0,8210,2354.4,1574872.0,4622.6,0.485,24.142,33.323,16.002
Small millets,1998,Kharif     ,Assam,10547.0,5450,2354.4,1042043.6,3058.63,0.521,24.142,33.323,16.002
Sugarcane,1998,Whole Year ,Assam,30571.0,1223578,2354.4,3020414.8,8865.59,39.893,24.142,33.323,16.002
Sweet potato,1998,Whole Year ,Assam,9433.0,32437,2354.4,931980.4,2735.57,3.436,24.142,33.323,16.002
Tapioca,1998,Whole Year ,Assam,2798.0,13261,2354.4,276442.4,811.42,4.445,24.142,33.323,16.002
Tobacco,1998,Whole Year ,Assam,1465.0,732,2354.4,144742.0,424.85,0.57,24.142,33.323,16.002
Turmeric,1998,Whole Year ,Assam,10729.0,7416,2354.4,1060025.2,3111.41,0.667,24.142,33.323,16.002
Wheat,1998,Rabi       ,Assam,89591.0,90509,2354.4,8851590.8,25981.39,1.0,24.142,33.323,16.002
Arecanut,1998,Whole Year ,Goa,1500.0,1820,2964.9,148200.0,435.0,1.21,25.083,34.938,17.258
Banana,1998,Whole Year ,Goa,1900.0,14400,2964.9,187720.0,551.0,7.58,25.083,34.938,17.258
Black pepper,1998,Whole Year ,Goa,250.0,70,2964.9,24700.0,72.5,0.28,25.083,34.938,17.258
Cashewnut,1998,Whole Year ,Goa,52875.0,15000,2964.9,5224050.0,15333.75,0.28,25.083,34.938,17.258
Coconut ,1998,Whole Year ,Goa,24858.0,121000000,2964.9,2455970.4,7208.82,4867.65,25.083,34.938,17.258
Groundnut,1998,Kharif     ,Goa,350.0,412,2964.9,34580.0,101.5,1.18,25.083,34.938,17.258
Groundnut,1998,Rabi       ,Goa,1048.0,2124,2964.9,103542.4,303.92,2.03,25.083,34.938,17.258
Other  Rabi pulses,1998,Rabi       ,Goa,8671.0,9220,2964.9,856694.8,2514.59,1.06,25.083,34.938,17.258
Other Kharif pulses,1998,Kharif     ,Goa,1200.0,324,2964.9,118560.0,348.0,0.27,25.083,34.938,17.258
Ragi,1998,Kharif     ,Goa,2500.0,2476,2964.9,247000.0,725.0,0.99,25.083,34.938,17.258
Rice,1998,Kharif     ,Goa,41000.0,104249,2964.9,4050800.0,11890.0,2.54,25.083,34.938,17.258
Rice,1998,Rabi       ,Goa,15439.0,46925,2964.9,1525373.2,4477.31,3.04,25.083,34.938,17.258
Sugarcane,1998,Whole Year ,Goa,1320.0,64000,2964.9,130416.0,382.8,48.48,25.083,34.938,17.258
Arecanut,1998,Whole Year ,Karnataka,98047.0,648365,1260.8,9687043.6,28433.63,6.232,25.85,36.034,16.947
Arhar/Tur,1998,Kharif     ,Karnataka,475396.0,221453,1260.8,46969124.8,137864.84,0.401,25.85,36.034,16.947
Bajra,1998,Kharif     ,Karnataka,415816.0,282231,1260.8,41082620.8,120586.64,0.602,25.85,36.034,16.947
Bajra,1998,Rabi       ,Karnataka,451.0,536,1260.8,44558.8,130.79,1.19,25.85,36.034,16.947
Bajra,1998,Summer     ,Karnataka,846.0,498,1260.8,83584.8,245.34,0.59,25.85,36.034,16.947
Black pepper,1998,Whole Year ,Karnataka,4387.0,10342,1260.8,433435.6,1272.23,2.238,25.85,36.034,16.947
Cardamom,1998,Whole Year ,Karnataka,20218.0,1153,1260.8,1997538.4,5863.22,0.06,25.85,36.034,16.947
Castor seed,1998,Kharif     ,Karnataka,27246.0,23245,1260.8,2691904.8,7901.34,0.832,25.85,36.034,16.947
Coconut ,1998,Whole Year ,Karnataka,310399.0,1611530000,1260.8,30667421.2,90015.71,4692.261,25.85,36.034,16.947
Coriander,1998,Whole Year ,Karnataka,17935.0,2982,1260.8,1771978.0,5201.15,0.118,25.85,36.034,16.947
Cotton(lint),1998,Kharif     ,Karnataka,636495.0,976876,1260.8,62885706.0,184583.55,1.557,25.85,36.034,16.947
Dry chillies,1998,Whole Year ,Karnataka,170319.0,146498,1260.8,16827517.2,49392.51,1.124,25.85,36.034,16.947
Garlic,1998,Whole Year ,Karnataka,3574.0,3034,1260.8,353111.2,1036.46,1.459,25.85,36.034,16.947
Ginger,1998,Kharif     ,Karnataka,3896.0,51169,1260.8,384924.8,1129.84,12.759,25.85,36.034,16.947
Gram,1998,Rabi       ,Karnataka,355326.0,202508,1260.8,35106208.8,103044.54,0.573,25.85,36.034,16.947
Groundnut,1998,Kharif     ,Karnataka,1012577.0,929016,1260.8,100042607.6,293647.33,0.857,25.85,36.034,16.947
Groundnut,1998,Rabi       ,Karnataka,217445.0,263118,1260.8,21483566.0,63059.05,1.305,25.85,36.034,16.947
Horse-gram,1998,Kharif     ,Karnataka,189486.0,90718,1260.8,18721216.8,54950.94,0.505,25.85,36.034,16.947
Horse-gram,1998,Rabi       ,Karnataka,134779.0,62084,1260.8,13316165.2,39085.91,0.449,25.85,36.034,16.947
Jowar,1998,Kharif     ,Karnataka,420808.0,616645,1260.8,41575830.4,122034.32,1.306,25.85,36.034,16.947
Jowar,1998,Rabi       ,Karnataka,1420162.0,1003450,1260.8,140312005.6,411846.98,0.724,25.85,36.034,16.947
Jowar,1998,Summer     ,Karnataka,8897.0,23144,1260.8,879023.6,2580.13,2.461,25.85,36.034,16.947
Linseed,1998,Rabi       ,Karnataka,19806.0,6441,1260.8,1956832.8,5743.74,0.315,25.85,36.034,16.947
Maize,1998,Kharif     ,Karnataka,450472.0,1542607,1260.8,44506633.6,130636.88,3.366,25.85,36.034,16.947
Maize,1998,Rabi       ,Karnataka,49922.0,101605,1260.8,4932293.6,14477.38,1.98,25.85,36.034,16.947
Maize,1998,Summer     ,Karnataka,11974.0,27080,1260.8,1183031.2,3472.46,2.242,25.85,36.034,16.947
Moong(Green Gram),1998,Kharif     ,Karnataka,311720.0,61227,1260.8,30797936.0,90398.8,0.181,25.85,36.034,16.947
Moong(Green Gram),1998,Rabi       ,Karnataka,15627.0,7005,1260.8,1543947.6,4531.83,0.439,25.85,36.034,16.947
Niger seed,1998,Kharif     ,Karnataka,41853.0,8104,1260.8,4135076.4,12137.37,0.215,25.85,36.034,16.947
Onion,1998,Kharif     ,Karnataka,79921.0,362053,1260.8,7896194.8,23177.09,5.364,25.85,36.034,16.947
Onion,1998,Rabi       ,Karnataka,8882.0,91057,1260.8,877541.6,2575.78,8.936,25.85,36.034,16.947
Onion,1998,Summer     ,Karnataka,4797.0,55339,1260.8,473943.6,1391.13,11.866,25.85,36.034,16.947
Peas & beans (Pulses),1998,Kharif     ,Karnataka,1730.0,15872,1260.8,170924.0,501.7,9.266,25.85,36.034,16.947
Peas & beans (Pulses),1998,Rabi       ,Karnataka,494.0,4882,1260.8,48807.2,143.26,8.948,25.85,36.034,16.947
Peas & beans (Pulses),1998,Summer     ,Karnataka,1583.0,13707,1260.8,156400.4,459.07,7.827,25.85,36.034,16.947
Potato,1998,Kharif     ,Karnataka,28755.0,317052,1260.8,2840994.0,8338.95,12.373,25.85,36.034,16.947
Potato,1998,Rabi       ,Karnataka,4173.0,82124,1260.8,412292.4,1210.17,18.907,25.85,36.034,16.947
Potato,1998,Summer     ,Karnataka,1137.0,19387,1260.8,112335.6,329.73,17.6,25.85,36.034,16.947
Potato,1998,Whole Year ,Karnataka,268.0,3910,1260.8,26478.4,77.72,14.59,25.85,36.034,16.947
Ragi,1998,Kharif     ,Karnataka,986173.0,1664767,1260.8,97433892.4,285990.17,1.418,25.85,36.034,16.947
Ragi,1998,Rabi       ,Karnataka,33833.0,45301,1260.8,3342700.4,9811.57,1.361,25.85,36.034,16.947
Ragi,1998,Summer     ,Karnataka,10673.0,24008,1260.8,1054492.4,3095.17,2.239,25.85,36.034,16.947
